date,ticker,signal,close_price,exec_price,shares_affected,cash_after,portfolio_value,pnl_pct,exit_reason,chandelier_stop,bars_in_cooldown,note
2026-07-16,HCLTECH.NS,SKIP_CA,1189.7000,,,243.49,98674.11,-1.3259,,,,
2026-07-16,COLPAL.NS,HOLD,1998.0000,,,243.49,98674.11,-1.3259,,,,
2026-07-16,ANURAS.NS,HOLD,1268.3000,,,243.49,98674.11,-1.3259,,,,
2026-07-16,BSOFT.NS,HOLD,289.9000,,,243.49,98674.11,-1.3259,,,,
2026-07-16,PERSISTENT.NS,HOLD,5078.0000,,,243.49,98674.11,-1.3259,,,,
2026-07-16,CHOLAHLDNG.NS,HOLD,1563.0000,,,243.49,98674.11,-1.3259,,,,
2026-07-16,COHANCE.NS,HOLD,444.2000,,,243.49,98674.11,-1.3259,,,,
2026-07-16,MAPMYINDIA.NS,HOLD,1181.0000,,,243.49,98674.11,-1.3259,,,,
2026-07-17,BAJAJ-AUTO.NS,HOLD,10439.5000,,,243.49,99542.89,-0.4571,,,,
2026-07-17,HCLTECH.NS,HOLD,1203.0000,,,243.49,99542.89,-0.4571,,,,
2026-07-17,COLPAL.NS,HOLD,2045.0000,,,243.49,99542.89,-0.4571,,,,
2026-07-17,ANURAS.NS,HOLD,1267.0000,,,243.49,99542.89,-0.4571,,,,
2026-07-17,BSOFT.NS,HOLD,288.0000,,,243.49,99542.89,-0.4571,,,,
2026-07-17,PERSISTENT.NS,HOLD,5175.0000,,,243.49,99542.89,-0.4571,,,,
2026-07-17,CHOLAHLDNG.NS,HOLD,1572.4000,,,243.49,99542.89,-0.4571,,,,
2026-07-17,COHANCE.NS,HOLD,442.0000,,,243.49,99542.89,-0.4571,,,,
2026-07-17,MAPMYINDIA.NS,HOLD,1178.0000,,,243.49,99542.89,-0.4571,,,,
2026-07-17,EMAMILTD.NS,HOLD,410.0000,,,243.49,99542.89,-0.4571,,,,
